Course Name,Student Name,Timestamp,Rating,Comment
Advanced Excel for Beginners in animation for 2022,Alexander Pearce,2022-06-30 08:36:59+00:00,4.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Visterlino jose Guillén rivero,2022-06-29 19:39:07+00:00,5.0,Fue un aprendizaje muy lleno de información y aprendizaje en como sacar provecho a excel
Excel Shortcuts & Hacks for Beginners in 2022,Venkannanaidu Yerramsetti,2022-06-29 18:08:49+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,Vishal sethi,2022-06-29 15:52:16+00:00,4.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Gauri Bandivadekar,2022-06-29 10:44:11+00:00,5.0,NA
Advanced Excel for Beginners in animation for 2022,Dina Jokico,2022-06-29 07:12:45+00:00,4.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Tanmay Mourya,2022-06-28 14:26:26+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Abdelaziz Aitoulehiane,2022-06-27 23:19:42+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Mkw,2022-06-27 20:33:19+00:00,3.0,
Excel Shortcuts & Hacks for Beginners in 2022,Michael,2022-06-27 18:43:52+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Vaishali Shingnapure,2022-06-27 10:42:06+00:00,5.0,Its Very good ...Very much detail and simple to understand.. Thanks a lot
Advanced Excel for Beginners in animation for 2022,Charusri.P,2022-06-27 06:31:13+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Peter Kwok Tai Ng,2022-06-26 13:59:41+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,Ritik Dodhiwala,2022-06-26 12:50:19+00:00,5.0,I am enjoying the course.
Advanced Excel for Beginners in animation for 2022,Julian Buß,2022-06-26 01:26:17+00:00,4.0,Easy and short introductions
Advanced Excel for Beginners in animation for 2022,Ilkin Baghirov,2022-06-25 13:53:37+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Suman Naik,2022-06-25 11:43:47+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,John Arthar,2022-06-25 11:16:23+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Vanessa Cywiak,2022-06-24 19:33:44+00:00,4.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Muhammad Akmal,2022-06-24 15:14:48+00:00,5.0,"Yes, indeed it was a good experience."
Excel Shortcuts & Hacks for Beginners in 2022,Dominic Ophey,2022-06-24 12:30:19+00:00,3.5,
Advanced Excel for Beginners in animation for 2022,Vivek,2022-06-24 11:56:50+00:00,3.5,
Excel Shortcuts & Hacks for Beginners in 2022,Gulfam Ahmad,2022-06-24 05:34:13+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,Sajjad Karim,2022-06-23 21:30:30+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Waleed Said,2022-06-23 14:27:52+00:00,5.0,Great
Excel Shortcuts & Hacks for Beginners in 2022,Tharoon Raj,2022-06-23 06:07:09+00:00,3.0,
Excel Shortcuts & Hacks for Beginners in 2022,shabana Essa,2022-06-22 20:33:51+00:00,5.0,"Very clear and to the point, Good experience. Thanks."
Advanced Excel for Beginners in animation for 2022,Maria Isabel Camarena Martinez,2022-06-22 17:13:29+00:00,4.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Arjun Kakirwar,2022-06-21 05:50:07+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,Scott Woodbridge,2022-06-21 03:16:30+00:00,4.5,
Advanced Excel for Beginners in animation for 2022,Susan Sayeeda Sonia,2022-06-20 21:02:06+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Shruti Danavale,2022-06-20 09:11:44+00:00,3.5,
Advanced Excel for Beginners in animation for 2022,Varlan Simona,2022-06-19 21:54:43+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Fady Nagy Sadek,2022-06-19 16:32:54+00:00,2.5,
Advanced Excel for Beginners in animation for 2022,Vadim Tsybankov,2022-06-19 15:57:48+00:00,4.5,
Advanced Excel for Beginners in animation for 2022,Biswajit Samantasinghar,2022-06-19 08:48:26+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Sheheryarkhan,2022-06-19 06:28:22+00:00,5.0,This course is very productive for me and i am learn more helpful keys and use in my excel routine. Thanks
Advanced Excel for Beginners in animation for 2022,Rishi Sundaram,2022-06-18 19:12:17+00:00,3.5,
Advanced Excel for Beginners in animation for 2022,Anand,2022-06-18 17:13:22+00:00,4.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Karthik Srinivasan,2022-06-18 15:43:12+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Mokshaa Agnihotri,2022-06-18 09:51:56+00:00,4.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Mamta Bhatia,2022-06-18 06:59:47+00:00,5.0,Really good for beginners. It enhance knowledge of excel. Bit fast but easy to grasp. Good Demonstration.
Master Vlookup & XLookup in Excel through Animation,Manoj Kumar,2022-06-18 06:18:20+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,Ganga Ghosh,2022-06-17 14:33:41+00:00,4.5,
Advanced Excel in Tamil - Excel in தமிழ்,Malini P,2022-06-17 13:25:22+00:00,4.5,
Advanced Excel for Beginners in animation for 2022,Diya Gupta,2022-06-17 11:30:38+00:00,3.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Achraf Karboub,2022-06-16 21:20:15+00:00,4.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Rohith Devadiga,2022-06-16 17:45:13+00:00,3.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Tiffany Hansen,2022-06-16 17:13:25+00:00,4.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Mohammed Imran,2022-06-16 15:51:18+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Satish SHLSNVR Ch,2022-06-16 12:32:13+00:00,2.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Lina Salem,2022-06-15 20:52:37+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Sriranjini Nagendra,2022-06-15 19:14:33+00:00,3.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Suresh Yadav,2022-06-15 17:54:03+00:00,5.0,Thanks
Excel Pivot Tables for Beginners | 2022 in Animation,Hillary Maness,2022-06-15 14:15:52+00:00,2.5,The instructor spoke rather quickly and I don't feel like the information was entirely clear.  Considering it was a free course I would say this was adequate.
Excel Pivot Tables for Beginners | 2022 in Animation,Meghana Bhalerao,2022-06-15 14:13:47+00:00,3.5,
Excel Shortcuts & Hacks for Beginners in 2022,G. Priyanka,2022-06-15 14:03:56+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Deborah Barr,2022-06-15 13:48:50+00:00,2.0,I had a difficult time understanding the presenter because he talked too fast.
Excel Pivot Tables for Beginners | 2022 in Animation,Eileen Roberts,2022-06-15 10:25:01+00:00,2.5,Closed captions are difficult to follow as the correct word is not always selected.
Excel Pivot Tables for Beginners | 2022 in Animation,Santha Kumar,2022-06-15 06:27:13+00:00,4.5,i'm very excited to learning on pivot tables. a neat and clear learning experience. thank you
Advanced Excel for Beginners in animation for 2022,Gustavo,2022-06-14 18:24:31+00:00,4.5,
Advanced Excel for Beginners in animation for 2022,Siyabusa Ndindwa,2022-06-14 12:38:35+00:00,3.5,
Advanced Excel for Beginners in animation for 2022,dheeraj soni,2022-06-14 12:30:30+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Santha Kumar,2022-06-14 12:25:39+00:00,4.5,Its very helpful for my career. i love the way of teaching.
Advanced Excel for Beginners in animation for 2022,Andita Savira Azwar,2022-06-14 12:10:01+00:00,4.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Sofia,2022-06-14 00:43:31+00:00,4.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Rashmi Dhaka,2022-06-12 21:05:42+00:00,3.0,
Advanced Excel for Beginners in animation for 2022,Sourav Pramanick,2022-06-12 12:41:14+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Arham Khalid,2022-06-12 10:23:44+00:00,5.0,really explained everything so clearly
Excel Pivot Tables for Beginners | 2022 in Animation,Sherisse Watson,2022-06-11 19:59:45+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,Juan,2022-06-11 19:33:21+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Mariam Sharumashvili,2022-06-11 12:49:59+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Conrad Barnard,2022-06-11 06:42:21+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Sadam Hussain,2022-06-10 06:00:30+00:00,4.0,
Excel Shortcuts & Hacks for Beginners in 2022,yatharth jain,2022-06-10 05:49:28+00:00,5.0,Helpful
Excel Pivot Tables for Beginners | 2022 in Animation,Maddie Paul,2022-06-09 13:03:59+00:00,4.5,
Excel Shortcuts & Hacks for Beginners in 2022,Christopher Mazzocut,2022-06-09 12:42:47+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Vinesh Deshmukh,2022-06-09 11:03:31+00:00,4.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Rohan Jamuar,2022-06-09 10:57:19+00:00,4.0,nice
Excel Pivot Tables for Beginners | 2022 in Animation,Joel Lin,2022-06-09 10:44:20+00:00,3.0,
Advanced Excel for Beginners in animation for 2022,Himani Pal,2022-06-09 09:24:20+00:00,5.0,Extremely satisfied
Excel Shortcuts & Hacks for Beginners in 2022,Made Theno,2022-06-09 09:07:23+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Sourav Pramanick,2022-06-09 07:22:54+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Junnun Shahriar,2022-06-08 19:23:09+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Joud abu-Baker,2022-06-08 16:02:20+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Seng Suytry,2022-06-08 09:17:45+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Nazeel Rasooldeen,2022-06-07 08:42:07+00:00,4.5,
Excel Shortcuts & Hacks for Beginners in 2022,Shiva,2022-06-07 04:55:07+00:00,5.0,Made easy to learn
Advanced Excel for Beginners in animation for 2022,Shiva,2022-06-07 04:54:05+00:00,5.0,Sharp and simple
Excel Pivot Tables for Beginners | 2022 in Animation,Angela Kappen,2022-06-06 19:30:21+00:00,3.5,
Advanced Excel for Beginners in animation for 2022,Cynthia Zinzow,2022-06-06 11:35:56+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,Ellenor Reyes,2022-06-06 04:59:24+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Quang Nguyen,2022-06-05 23:35:14+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Vadim Tsybankov,2022-06-05 18:38:36+00:00,4.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Michelle Porter,2022-06-05 11:13:55+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,Dipti Makwana,2022-06-05 08:25:14+00:00,4.0,NA
Advanced Excel for Beginners in animation for 2022,Ravi Kumar Dadhich,2022-06-05 03:19:44+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Zahra Rorog,2022-06-05 02:52:31+00:00,5.0,"brief simple and straight to the point, Love it."
Advanced Excel for Beginners in animation for 2022,Rajesh Chaudhary,2022-06-04 19:07:32+00:00,3.0,
Excel Shortcuts & Hacks for Beginners in 2022,Razan Raed,2022-06-03 21:30:32+00:00,4.5,
Advanced Excel for Beginners in animation for 2022,Prashant P Kadam,2022-06-03 16:41:54+00:00,4.5,good
Excel Shortcuts & Hacks for Beginners in 2022,Kalpana Kajale,2022-06-03 09:43:47+00:00,4.0,good
Excel Shortcuts & Hacks for Beginners in 2022,Mohamed Mohamed Ali,2022-06-03 08:24:44+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Dinithi Bandara,2022-06-03 05:20:07+00:00,4.5,
Advanced Excel for Beginners in animation for 2022,Shafaat114,2022-06-02 18:37:35+00:00,3.0,it is very good but this course covers only basic topics not advanced but short videos and other animation clips are very helpful to memorize the formula and function easily
Excel Pivot Tables for Beginners | 2022 in Animation,Rachana San,2022-06-02 02:25:15+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Nupoor Savalekar,2022-06-02 02:08:09+00:00,5.0,I found this course very interesting and easy to understand!
Advanced Excel for Beginners in animation for 2022,Gaurav Singh,2022-06-01 15:36:21+00:00,4.0,"Yes its quite good , just want to know do I got certificate after completion"
Advanced Excel for Beginners in animation for 2022,Zeineb,2022-06-01 10:37:07+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Maria Michopoulos,2022-06-01 01:39:11+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Vihar Rajendrakumar Sheth,2022-05-31 08:53:16+00:00,4.5,
Advanced Excel for Beginners in animation for 2022,Mandluskar Lakshana Prakash,2022-05-31 02:02:40+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Wiktoria Gusar,2022-05-30 18:16:21+00:00,3.5,
Advanced Excel for Beginners in animation for 2022,Lartey Eunice Durotoluwa,2022-05-30 15:33:05+00:00,2.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Christine Alinsod,2022-05-30 09:01:07+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Bhawani Singh Rawat,2022-05-30 07:15:51+00:00,3.5,
Advanced Excel for Beginners in animation for 2022,Soumya Dubey,2022-05-29 19:54:59+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Ketan Kulkarni,2022-05-29 13:56:22+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Noor As-Sami Yousufi,2022-05-29 12:52:32+00:00,4.5,I liked the course. It helped me a lot in learning excel.
Advanced Excel for Beginners in animation for 2022,Eslam El_sayed adblgny,2022-05-29 12:12:11+00:00,4.0,good
Excel Shortcuts & Hacks for Beginners in 2022,Shefali aneja,2022-05-28 12:18:26+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Arthi soupramaniyane,2022-05-28 10:53:55+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Arthi soupramaniyane,2022-05-28 10:48:53+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Srilekha,2022-05-27 17:59:37+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,Sujit Kar,2022-05-27 16:53:14+00:00,5.0,mast
Excel Pivot Tables for Beginners | 2022 in Animation,Rob Beckwith,2022-05-27 13:09:06+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,Bishnu Charan Satpathy,2022-05-27 09:35:33+00:00,3.5,
Advanced Excel for Beginners in animation for 2022,Siddharth Mehrotra,2022-05-26 19:42:27+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Julie Lalonde,2022-05-26 17:26:45+00:00,4.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Hakan,2022-05-26 09:09:19+00:00,4.0,
Excel Shortcuts & Hacks for Beginners in 2022,benjamin starr,2022-05-26 02:19:42+00:00,4.0,
Excel Shortcuts & Hacks for Beginners in 2022,Saair Ahmad Bhat,2022-05-25 08:39:12+00:00,3.0,
Advanced Excel for Beginners in animation for 2022,Adriana Ramirez Carlos,2022-05-24 19:49:31+00:00,4.5,
Excel Shortcuts & Hacks for Beginners in 2022,Harsaranjeet Bhatty,2022-05-24 12:57:55+00:00,4.0,
Excel Shortcuts & Hacks for Beginners in 2022,Shaurya Laddha,2022-05-24 12:15:42+00:00,5.0,Good
Excel Pivot Tables for Beginners | 2022 in Animation,Swarnika Jain,2022-05-24 08:19:47+00:00,3.5,
Advanced Excel for Beginners in animation for 2022,Kushal Patel,2022-05-24 07:16:45+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Mohammad Hamza,2022-05-24 07:05:17+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Rathi Sudarsan,2022-05-24 05:22:58+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,Pankaj Namekar,2022-05-23 05:37:01+00:00,3.5,Not much advanced level but for beginner its good. Only beginner level
Excel Pivot Tables for Beginners | 2022 in Animation,Sapna Gupta,2022-05-23 05:10:49+00:00,3.5,
Excel Shortcuts & Hacks for Beginners in 2022,Do  Trung Nguyen,2022-05-23 02:48:10+00:00,4.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Nawal,2022-05-23 02:05:14+00:00,4.5,
Excel Shortcuts & Hacks for Beginners in 2022,Julie Grace So,2022-05-22 10:06:31+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Trijesh Kumar,2022-05-22 06:30:35+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Prerith,2022-05-21 09:37:18+00:00,5.0,"""Excel""lent"
Advanced Excel for Beginners in animation for 2022,Prerith,2022-05-21 09:35:16+00:00,5.0,Amazing
Excel Pivot Tables for Beginners | 2022 in Animation,Shiva,2022-05-21 09:27:24+00:00,5.0,Good one
Excel Pivot Tables for Beginners | 2022 in Animation,Sreejith,2022-05-21 09:03:27+00:00,5.0,Nice
Advanced Excel for Beginners in animation for 2022,Sreejith,2022-05-21 09:01:26+00:00,5.0,Liked it
Excel Shortcuts & Hacks for Beginners in 2022,Sreejith,2022-05-21 08:59:20+00:00,5.0,Exceptional
Excel Shortcuts & Hacks for Beginners in 2022,Rajesh,2022-05-21 08:51:56+00:00,5.0,Well
Advanced Excel for Beginners in animation for 2022,Rajesh,2022-05-21 07:11:12+00:00,5.0,Liked it
Excel Shortcuts & Hacks for Beginners in 2022,Poornesh G,2022-05-21 07:02:58+00:00,5.0,Excellent
Advanced Excel for Beginners in animation for 2022,Poornesh G,2022-05-21 06:57:13+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Poornesh G,2022-05-21 06:47:16+00:00,5.0,Quite helpful for beginners.
Excel Shortcuts & Hacks for Beginners in 2022,Muhammad Ahmad Akram,2022-05-21 06:02:44+00:00,3.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Suraj Kumar,2022-05-20 17:01:29+00:00,5.0,No words are enough to compliment this course
Advanced Excel for Beginners in animation for 2022,Rigels Allko,2022-05-20 10:03:48+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Ch Kethan Reddy,2022-05-20 04:46:33+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,Ajibola Jeremiah Oluwatobi,2022-05-19 22:15:53+00:00,4.5,
Excel Shortcuts & Hacks for Beginners in 2022,Elijah Naqvi,2022-05-19 18:26:18+00:00,5.0,yes learnt a lot
Advanced Excel for Beginners in animation for 2022,Jan Jaklič,2022-05-19 11:27:21+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Rajeshwar Jaykar,2022-05-19 11:13:06+00:00,3.5,
Advanced Excel for Beginners in animation for 2022,Srishti,2022-05-19 09:50:19+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Sheetal Mishra,2022-05-19 09:03:34+00:00,4.5,
Advanced Excel for Beginners in animation for 2022,Ganesh Taware,2022-05-18 12:37:48+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Charu Rajapaksha,2022-05-18 09:14:15+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Zainab,2022-05-18 06:45:58+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Zunaira Basheer,2022-05-18 03:47:11+00:00,4.0,
Excel Shortcuts & Hacks for Beginners in 2022,Lydia Angel N,2022-05-17 08:05:48+00:00,4.0,
Excel Shortcuts & Hacks for Beginners in 2022,Luján Wendling,2022-05-17 02:47:13+00:00,5.0,great and useful info!
Advanced Excel for Beginners in animation for 2022,Thembeka Mlambo,2022-05-16 17:13:28+00:00,5.0,great and understandable content
Excel Pivot Tables for Beginners | 2022 in Animation,Paolo Ambrosioni,2022-05-16 11:45:02+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Rusiru Anupama,2022-05-16 07:06:08+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Devraj Thapa,2022-05-16 06:20:20+00:00,5.0,I like the animation and the analogies. Great job.
Excel Shortcuts & Hacks for Beginners in 2022,Agnes Dimaculangan,2022-05-16 05:58:52+00:00,5.0,I learn new technique
Advanced Excel for Beginners in animation for 2022,Anuroop Roy Choudhury,2022-05-16 03:00:45+00:00,5.0,Comprehensive content.
Excel Pivot Tables for Beginners | 2022 in Animation,Shalu Rautela,2022-05-15 10:03:10+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,J. Stephenson,2022-05-15 09:22:17+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Adnan Ghani,2022-05-14 19:48:29+00:00,4.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Rajmohan,2022-05-14 12:05:27+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Aaron Tang,2022-05-13 19:00:17+00:00,4.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Prajna,2022-05-13 16:14:24+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Aditya Rajhans,2022-05-13 10:07:44+00:00,4.5,
Excel Shortcuts & Hacks for Beginners in 2022,Akshaya G,2022-05-13 08:13:23+00:00,4.0,
Advanced Excel for Beginners in animation for 2022,Akshaya G,2022-05-13 08:06:24+00:00,5.0,
Advanced Excel in Tamil - Excel in தமிழ்,N. Srinithi Varsha,2022-05-13 07:56:19+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Raviswamy Goudara,2022-05-13 06:54:42+00:00,3.5,
Advanced Excel in Tamil - Excel in தமிழ்,S. Amirtha priya,2022-05-13 06:39:39+00:00,4.5,
Advanced Excel in Tamil - Excel in தமிழ்,Samithadhayalan,2022-05-13 06:39:19+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Pramila A,2022-05-13 06:14:04+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Subashree,2022-05-13 06:11:13+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Siamala,2022-05-13 05:30:15+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Siamala,2022-05-13 05:27:48+00:00,5.0,
Advanced Excel in Tamil - Excel in தமிழ்,Sangeetha,2022-05-13 05:27:28+00:00,5.0,
Excel Shortcuts & Hacks for Beginners in 2022,Pradeep C,2022-05-13 05:27:13+00:00,5.0,
Advanced Excel in Tamil - Excel in தமிழ்,G. V Sai Janani Yadav,2022-05-13 05:25:54+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Pradeep C,2022-05-13 05:25:37+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Sharukhan,2022-05-13 05:25:09+00:00,5.0,
Advanced Excel in Tamil - Excel in தமிழ்,Surya,2022-05-13 05:23:48+00:00,4.5,
Excel Shortcuts & Hacks for Beginners in 2022,Sharukhan,2022-05-13 05:23:46+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Siamala,2022-05-13 05:23:30+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Pradeep C,2022-05-13 05:19:47+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Muthukumaran k,2022-05-13 05:19:14+00:00,5.0,
Advanced Excel for Beginners in animation for 2022,Sharukhan,2022-05-13 05:18:54+00:00,4.5,
Advanced Excel in Tamil - Excel in தமிழ்,Muthukumaran k,2022-05-13 05:16:20+00:00,3.5,
Excel Shortcuts & Hacks for Beginners in 2022,Praveen_JD,2022-05-13 04:54:47+00:00,5.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Shivani Sruthi V,2022-05-13 04:51:02+00:00,4.0,
Excel Pivot Tables for Beginners | 2022 in Animation,Niveshbharath S,2022-05-13 04:29:32+00:00,3.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Rajshree Samasi,2022-05-13 03:31:24+00:00,4.5,
Advanced Excel for Beginners in animation for 2022,Muhammed Junaid N K,2022-05-13 03:20:41+00:00,4.5,
Excel Pivot Tables for Beginners | 2022 in Animation,Shea Beal,2022-05-12 17:55:18+00:00,4.5,
Excel Shortcuts & Hacks for Beginners in 2022,Undral Gantulga,2022-05-12 17:50:44+00:00,2.0,
